,city,country,lat,lng,date,max_temp,humidity,cloudiness,windspeed
0,hay river,ca,64.60640223166311,-119.47535741921736,1552784400,42.8,38.0,20.0,10.29
1,chokurdakh,ru,80.89850381099599,147.73775261445138,1552787372,-7.52,92.0,64.0,4.92
2,port blair,in,10.776745177409763,94.43790659429949,1552787747,83.03,98.0,0.0,9.62
3,kiama,au,-35.546578808395985,151.97085424653525,1552787734,66.99,100.0,90.0,14.99
4,valdivia,cl,-39.74191000590505,-75.99823556401155,1552784400,53.6,81.0,0.0,3.36
5,kaitangata,nz,-51.85934780034649,171.3810704435558,1552787733,61.0,79.0,12.0,8.99
6,souillac,mu,-38.4921243317176,65.93762734311504,1552787732,51.8,76.0,90.0,12.75
7,mataura,pf,-71.44588634122714,-145.58348156275014,1552787406,64.0,73.0,24.0,2.13
8,port-gentil,ga,-1.7668188531314968,6.601915582424767,1552787755,79.56,100.0,68.0,4.47
9,upernavik,gl,77.84298700078,-54.463850920419006,1552787757,-11.61,100.0,32.0,13.76
10,hit,iq,32.89370872969201,41.640214705565455,1552787758,48.87,94.0,92.0,14.09
11,hermanus,za,-59.30454382823511,14.932216780970435,1552787290,64.99,98.0,32.0,2.8
12,pandan,ph,16.868729305068115,126.40942015891943,1552787760,81.23,95.0,12.0,19.24
13,leningradskiy,ru,89.59825233808289,176.59752540106913,1552787761,-6.57,88.0,64.0,21.59
14,puerto ayora,ec,0.05807861902583511,-102.04335111449528,1552787184,75.99,90.0,8.0,3.0
15,san luis,ar,-31.37332389549426,-66.56066554098491,1552787764,58.95,93.0,80.0,6.6
16,muros,es,43.34568022145962,-17.150077285640034,1552787735,55.0,87.0,90.0,10.29
17,yellowknife,ca,66.44767304825328,-114.13136467539158,1552787143,25.0,67.0,20.0,11.41
18,bambous virieux,mu,-29.13181020382561,76.06413594531274,1552784400,77.0,83.0,75.0,6.93
19,ofaqim,il,31.137564315866186,34.302891753471926,1552787586,55.0,35.0,100.0,9.4
20,busselton,au,-61.378659635979936,79.31781403827205,1552787154,75.99,40.0,76.0,19.69
21,shenjiamen,cn,30.48444530919353,124.70955464921582,1552787772,56.16,89.0,0.0,2.68
22,suntar,ru,63.041953863393466,116.84695903268994,1552787773,15.93,56.0,56.0,9.51
23,broken hill,au,-26.70622721157257,141.47926562954774,1552784400,80.6,30.0,0.0,10.29
24,hobart,au,-55.8586107609092,145.83665300290923,1552787244,72.0,49.0,20.0,6.93
25,ushuaia,ar,-86.04523281235856,-79.86473952730142,1552784400,46.4,93.0,20.0,2.24
26,severo-kurilsk,ru,41.53754861600541,163.02132283167802,1552787779,28.62,100.0,36.0,2.35
27,hilo,us,15.998201569621287,-153.3433447303974,1552787360,79.0,65.0,90.0,9.17
28,hithadhoo,mv,-8.254500424082124,77.34597929700135,1552787782,80.51,100.0,76.0,0.34
29,sitka,us,46.91557319376577,-140.23285873875318,1552787205,53.01,31.0,0.0,1.01
